temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
72.29426,100.5029,99.51441,99.69231,0.0,0.0,0.0,1.4550628859731004e-104,2.5939709950593396e-28,2.5939709950593396e-28,-0.0,3.291081413153509e-98,4.3955171627479694e-20,4.3955171627479694e-20,1.420469256063977e-108,5.86497501351115e-23,5.86497501351115e-23,-0.0
73.24917,100.50209,99.52174,99.6939,0.0,0.0,0.0,3.4865899804135233e-104,3.171216319793918e-28,3.171216319793918e-28,-0.0,7.017056602063891e-98,4.985285921207402e-20,4.985285921207402e-20,3.029362960440694e-108,6.71896524476639e-23,6.71896524476639e-23,-0.0
74.20409,100.50518,99.52628,99.69736,0.0,0.0,0.0,8.354567391078112e-104,3.876926197905539e-28,3.876926197905539e-28,-0.0,1.4961487603266244e-97,5.654194390548116e-20,5.654194390548116e-20,6.460620455387842e-108,7.697314672567196e-23,7.697314672567196e-23,-0.0
75.159,100.51146,99.51839,99.70145,0.0,0.0,0.0,2.001903232996144e-103,4.7396719750729e-28,4.7396719750729e-28,-0.0,3.190003290213335e-97,6.41284623567409e-20,6.41284623567409e-20,1.377823858240222e-107,8.818109138379379e-23,8.818109138379379e-23,-0.0
76.11392,100.51362,99.51669,99.70996,0.0,0.0,0.0,4.79696080251449e-103,5.794419742022816e-28,5.794419742022816e-28,-0.0,6.801597505550631e-97,7.273299823977649e-20,7.273299823977649e-20,2.938438582207223e-107,1.0102115189242492e-22,1.0102115189242492e-22,-0.0
77.06883,100.50733,99.51943,99.71946,0.0,0.0,0.0,1.149437294546775e-102,7.083871980310428e-28,7.083871980310428e-28,-0.0,1.4501979346409792e-96,8.249195230198407e-20,8.249195230198407e-20,6.266659390526968e-107,1.157306905805762e-22,1.157306905805762e-22,-0.0
78.02375,100.50497,99.52217,99.71988,0.0,0.0,0.0,2.7542818034400987e-102,8.660288701106084e-28,8.660288701106084e-28,-0.0,3.0920540693702917e-96,9.356043792534894e-20,9.356043792534894e-20,1.3364693625057804e-106,1.325822519123889e-22,1.325822519123889e-22,-0.0
78.97866,100.50323,99.52537,99.71946,0.0,0.0,0.0,6.599750039454352e-102,1.0587492657159196e-27,1.0587492657159196e-27,-0.0,6.592701819741123e-96,1.0611391485948378e-19,1.0611391485948378e-19,2.8502206346635183e-106,1.5188735512428112e-22,1.5188735512428112e-22,-0.0
79.93358,100.5038,99.524,99.71321,0.0,0.0,0.0,1.5814321953151557e-101,1.2943591200785838e-27,1.2943591200785838e-27,-0.0,1.4056695298578059e-95,1.203519139404306e-19,1.203519139404306e-19,6.078569644885795e-106,1.74003693215444e-22,1.74003693215444e-22,-0.0
80.88849,100.50031,99.53634,99.70799,0.0,0.0,0.0,3.7893933657731376e-101,1.5823973256005514e-27,1.5823973256005514e-27,-0.0,2.997088621201082e-95,1.365001386509184e-19,1.365001386509184e-19,1.2963458136151514e-105,1.9934011048337766e-22,1.9934011048337766e-22,-0.0
