temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
213.62168,99.658,98.07913,99.44773,0.0,0.0,0.0,0.0,1.097540940001811e-05,1.097540940001811e-05,-0.0,0.0,7.382510098838822e-07,7.382510098838822e-07,0.0,1.419265984630415e-07,1.419265984630415e-07,-0.0
214.57659,99.62459,98.02667,99.43169,0.0,0.0,0.0,0.0,1.151859451206999e-05,1.151859451206999e-05,-0.0,0.0,7.821776312331985e-07,7.821776312331985e-07,0.0,1.5067213480481171e-07,1.5067213480481171e-07,-0.0
215.53151,99.57934,97.95205,99.42303,0.0,0.0,0.0,0.0,1.2090357400269684e-05,1.2090357400269684e-05,-0.0,0.0,8.288174788213112e-07,8.288174788213112e-07,0.0,1.59968892590477e-07,1.59968892590477e-07,-0.0
216.48642,99.54506,97.88069,99.40501,0.0,0.0,0.0,0.0,1.2692278930844059e-05,1.2692278930844059e-05,-0.0,0.0,8.783432093313484e-07,8.783432093313484e-07,0.0,1.6985215960713845e-07,1.6985215960713845e-07,-0.0
217.44134,99.50475,97.80076,99.38167,0.0,0.0,0.0,0.0,1.3326058433230686e-05,1.3326058433230686e-05,-0.0,0.0,9.309409983496883e-07,9.309409983496883e-07,0.0,1.8035995723981876e-07,1.8035995723981876e-07,-0.0
218.39625,99.46629,97.72702,99.36774,0.0,0.0,0.0,0.0,1.3993469020025972e-05,1.3993469020025972e-05,-0.0,0.0,9.868071695754076e-07,9.868071695754076e-07,0.0,1.915323667661727e-07,1.915323667661727e-07,-0.0
219.35117,99.42538,97.63777,99.35267,0.0,0.0,0.0,0.0,1.4696416980877884e-05,1.4696416980877884e-05,-0.0,0.0,1.0461534539633668e-06,1.0461534539633668e-06,0.0,2.0341257841980051e-07,2.0341257841980051e-07,-0.0
220.30608,99.37386,97.54188,99.33066,0.0,0.0,0.0,0.0,1.5436892393321212e-05,1.5436892393321212e-05,-0.0,0.0,1.1092032017792423e-06,1.1092032017792423e-06,0.0,2.160461314592873e-07,2.160461314592873e-07,-0.0
221.261,99.3302,97.44964,99.3046,0.0,0.0,0.0,0.0,1.6217035163496766e-05,1.6217035163496766e-05,-0.0,0.0,1.1761973321073086e-06,1.1761973321073086e-06,0.0,2.294821020300315e-07,2.294821020300315e-07,-0.0
222.21591,99.27461,97.35324,99.28228,0.0,0.0,0.0,0.0,1.7039080403751667e-05,1.7039080403751667e-05,-0.0,0.0,1.2473900743553567e-06,1.2473900743553567e-06,0.0,2.437722457242569e-07,2.437722457242569e-07,-0.0
223.17083,99.21723,97.25898,99.2571,0.0,0.0,0.0,0.0,1.7905431913867527e-05,1.7905431913867527e-05,-0.0,0.0,1.3230557023829202e-06,1.3230557023829202e-06,0.0,2.5897234302238753e-07,2.5897234302238753e-07,-0.0
224.12574,99.15682,97.14988,99.23402,0.0,0.0,0.0,0.0,1.881860173993852e-05,1.881860173993852e-05,-0.0,0.0,1.4034837450027416e-06,1.4034837450027416e-06,0.0,2.7514123155212983e-07,2.7514123155212983e-07,-0.0
225.08066,99.09593,97.04345,99.21014,0.0,0.0,0.0,0.0,1.9781291990623387e-05,1.9781291990623387e-05,-0.0,0.0,1.4889866123454876e-06,1.4889866123454876e-06,0.0,2.923423304855378e-07,2.923423304855378e-07,-0.0
226.03557,99.03779,96.9074,99.18104,0.0,0.0,0.0,0.0,2.0796327922915353e-05,2.0796327922915353e-05,-0.0,0.0,1.5798942068849108e-06,1.5798942068849108e-06,0.0,3.106425479907947e-07,3.106425479907947e-07,-0.0
226.99049,98.97966,96.81394,99.15293,0.0,0.0,0.0,0.0,2.1866749102351147e-05,2.1866749102351147e-05,-0.0,0.0,1.676562564977004e-06,1.676562564977004e-06,0.0,3.301140089217332e-07,3.301140089217332e-07,-0.0
227.9454,98.90905,96.70436,99.13042,0.0,0.0,0.0,0.0,2.299573528389923e-05,2.299573528389923e-05,-0.0,0.0,1.7793677908199596e-06,1.7793677908199596e-06,0.0,3.5083282100690585e-07,3.5083282100690585e-07,-0.0
228.90032,98.83641,96.57285,99.0969,0.0,0.0,0.0,0.0,2.418670805499433e-05,2.418670805499433e-05,-0.0,0.0,1.8887158536874183e-06,1.8887158536874183e-06,0.0,3.7288103354680654e-07,3.7288103354680654e-07,-0.0
229.85523,98.77218,96.45885,99.06977,0.0,0.0,0.0,0.0,2.5443248692793735e-05,2.5443248692793735e-05,-0.0,0.0,2.0050357568665414e-06,2.0050357568665414e-06,0.0,3.963452436684504e-07,3.963452436684504e-07,-0.0
230.81015,98.6899,96.32935,99.04364,0.0,0.0,0.0,0.0,2.6769211576592892e-05,2.6769211576592892e-05,-0.0,0.0,2.1287906512910193e-06,2.1287906512910193e-06,0.0,4.213188176019274e-07,4.213188176019274e-07,-0.0
231.76506,98.60486,96.16864,99.00769,0.0,0.0,0.0,0.0,2.8168633104894392e-05,2.8168633104894392e-05,-0.0,0.0,2.2604701397044587e-06,2.2604701397044587e-06,0.0,4.4790031580754164e-07,4.4790031580754164e-07,-0.0
232.71998,98.51662,96.03237,98.97087,0.0,0.0,0.0,0.0,2.9645858331749983e-05,2.9645858331749983e-05,-0.0,0.0,2.400602890587275e-06,2.400602890587275e-06,0.0,4.7619601280633225e-07,4.7619601280633225e-07,-0.0
233.67489,98.45575,95.88332,98.93039,0.0,0.0,0.0,0.0,3.120543991705179e-05,3.120543991705179e-05,-0.0,0.0,2.5497479643655966e-06,2.5497479643655966e-06,0.0,5.063181171180888e-07,5.063181171180888e-07,-0.0
234.62981,98.37359,95.73288,98.89218,0.0,0.0,0.0,0.0,3.285227963259346e-05,3.285227963259346e-05,-0.0,0.0,2.708509138178054e-06,2.708509138178054e-06,0.0,5.383876306488172e-07,5.383876306488172e-07,-0.0
235.58472,98.28793,95.57873,98.84946,0.0,0.0,0.0,0.0,3.459151619512604e-05,3.459151619512604e-05,-0.0,0.0,2.8775251256601376e-06,2.8775251256601376e-06,0.0,5.725323361128759e-07,5.725323361128759e-07,-0.0
