temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
84.49916,99.62903,100.4557,99.55615,-0.00108373,3.35e-14,0.001686239,0.000737414,7.04e-05,0.002494059,0.001256636,0.001080304,0.0,6.68e-05,3.24e-49,0.001147146,-0.0007906675082338666,7.220139971176728e-33,0.004335836710800992,0.0017530571739531602,5.904168704095882e-05,0.006147935571795111
85.45407,99.61763,100.45639,99.55884,0.00359203,4.86e-14,0.001718688,0.000749232,7.14e-05,0.002539365,-0.001853556,0.001135574,0.0,6.8e-05,9.74e-49,0.001203561,0.00030889528458999393,1.6601364827815949e-32,0.004398490652597417,0.001775246380548021,5.983202240459495e-05,0.006233569055550033
86.40899,99.62217,100.45924,99.55556,-0.00475435,7.02e-14,0.001751865,0.000761269,7.25e-05,0.002585637,-0.002864128,0.00119339,0.0,6.92e-05,2.9099999999999996e-48,0.001262544,0.0021938995519406035,3.7986878660787913e-32,0.004462207667642466,0.0017977636311248772,6.0634564162905603e-05,0.006320605862930249
87.3639,99.62671,100.46186,99.55465,0.000795824,1.01e-13,0.001785789,0.00077353,7.36e-05,0.002632898,0.003356256,0.001253851,0.0,7.03e-05,8.64e-48,0.001324197,0.0008953682537296004,8.649829269950357e-32,0.004527007204841373,0.0018206140180039832,6.144950965921141e-05,0.006409070732504568
88.31882,99.62065,100.45283,99.55385,0.004686264,1.46e-13,0.001820479,0.000786021,7.47e-05,0.002681173,0.003591881,0.001317064,0.0,7.16e-05,2.5500000000000004e-47,0.001388625,0.00041888106393628277,1.9600766561080664e-31,0.004592911867387255,0.0018438036908351603,6.227709434502466e-05,0.00649899265256744
89.27373,99.61776,100.455,99.55385,0.001581308,2.09e-13,0.001855954,0.000798746,7.58e-05,0.002730486,-0.005476894,0.001383136,0.0,7.28e-05,7.49e-47,0.001455936,0.001167630965717592,4.420004704492313e-31,0.004659941994524955,0.0018673379442803863,6.311752358821529e-05,0.006590397462393556
90.22865,99.61763,100.46329,99.55162,-0.004675859,2.99e-13,0.001892236,0.00081171,7.69e-05,0.002780865,-0.007335717,0.001452179,0.0,7.41e-05,2.19e-46,0.001526242,0.0011623948427512687,9.918910180278528e-31,0.004728121195752084,0.0018912231634133434,6.397104211138498e-05,0.0066833154012768126
91.18356,99.62669,100.46901,99.55163,-0.006330439,4.27e-13,0.001929345,0.000824918,7.81e-05,0.002832334,-0.00512612,0.001524307,0.0,7.54e-05,6.3599999999999996e-46,0.001599659,-0.0005916696124756982,2.2150798275513768e-30,0.004797470746313083,0.0019154648542104946,6.48378636692144e-05,0.006777773464192792
92.13848,99.62972,100.47308,99.55275,-0.003173057,6.08e-13,0.001967304,0.000838377,7.92e-05,0.002884923,-0.004691522,0.001599639,0.0,7.67e-05,1.84e-45,0.001676305,-0.005785903593576336,4.92273336245657e-30,0.004868015312671831,0.001940069647347117,6.571824266461961e-05,0.006873803202683567
93.09339,99.63275,100.47797,99.56268,-0.003199237,8.64e-13,0.002006133,0.00085209,8.04e-05,0.002938657,-0.011728723,0.001678296,0.0,7.8e-05,5.28e-45,0.001756303,-0.012451348523455863,1.0886981546848806e-29,0.004939777154331618,0.0019650432695276663,6.661240161939172e-05,0.006971432825478676
94.04831,99.63583,100.49548,99.57653,-0.003220182,1.23e-12,0.002045858,0.000866063,8.16e-05,0.002993568,-0.017242361,0.001760405,0.0,7.94e-05,1.51e-44,0.001839779,-0.006660196524343576,2.3960734275174318e-29,0.005012782048232667,0.0019903926076978904,6.75206050460392e-05,0.007070695260976596
95.00322,99.6389,100.5109,99.5754,-0.002602332,1.73e-12,0.0020865,0.000880303,8.29e-05,0.003049684,-0.018755569,0.001846092,0.0,8.08e-05,4.29e-44,0.001926861,0.0048119086141724665,5.247797228966623e-29,0.005087053289158395,0.0020161236191682816,6.84430846327844e-05,0.007171619992959462
