temperature,rate_3,rate_10,rate_5
313.33184,59.26891,68.84196,61.94491
314.28676,58.84196,68.60016,61.6576
315.24167,58.44321,68.36367,61.34036
316.19659,58.04297,68.12977,61.03166
317.1515,57.6297,67.88921,60.71751
318.10642,57.22518,67.64761,60.419
319.06133,56.79409,67.38848,60.07853
320.01625,56.35805,67.14942,59.76117
320.97116,55.92537,66.89054,59.4376
321.92608,55.48044,66.63429,59.10755
322.88099,55.02249,66.36884,58.7753
323.83591,54.55603,66.10654,58.4355
324.79082,54.0927,65.84201,58.10093
325.74574,53.61837,65.561,57.75045
326.70065,53.13858,65.2836,57.40036
327.65557,52.66358,65.00028,57.03874
328.61048,52.19111,64.71852,56.6868
329.5654,51.70864,64.43078,56.32021
330.52031,51.25099,64.13442,55.94908
331.47523,50.79593,63.82905,55.57323
332.43014,50.37344,63.53758,55.21202
333.38506,49.97984,63.25643,54.8133
334.33997,49.67471,62.93536,54.41872
335.29489,49.48016,62.62666,54.02068
336.2498,49.45326,62.31992,53.62887
337.20472,49.42487,61.99088,53.2361
338.15963,49.39721,61.67884,52.82981
339.11455,49.36126,61.34921,52.43689
340.06946,49.33348,61.01475,52.0274
341.02438,49.29872,60.68638,51.64382
341.97929,49.26905,60.35658,51.24229
342.93421,49.2325,60.01297,50.86653
343.88912,49.19848,59.66826,50.48839
344.84404,49.14855,59.3275,50.13071
345.79895,49.10356,58.97022,49.80629
346.75387,49.05141,58.61133,49.55302
347.70878,48.99718,58.2558,49.32314
348.6637,48.94333,57.87176,49.25682
349.61861,48.89267,57.49693,49.23322
350.57353,48.83104,57.11844,49.20642
351.52844,48.77163,56.75363,49.1713
352.48336,48.72406,56.39249,49.13993
353.43827,48.65721,55.99899,49.10247
354.39319,48.58546,55.60835,49.06566
355.3481,48.52503,55.2283,49.02886
356.30302,48.45879,54.83956,48.99244
357.25793,48.38858,54.46106,48.95381
358.21285,48.31722,54.0846,48.91253
359.16776,48.2483,53.70054,48.86655
360.12268,48.18077,53.32004,48.82089
361.07759,48.10098,52.95805,48.78096
362.03251,48.02659,52.58672,48.7358
362.98742,47.94454,52.21721,48.69181
363.94234,47.87967,51.86558,48.64301
364.89725,47.79512,51.52002,48.59306
365.85217,47.70849,51.18331,48.54622
366.80708,47.62491,50.85116,48.49624
367.762,47.53977,50.5495,48.44576
368.71691,47.44906,50.27939,48.38889
369.67183,47.3629,50.03442,48.33525
370.62674,47.26278,49.79719,48.27572
371.58166,47.17015,49.62371,48.21634
372.53657,47.05944,49.50667,48.15623
373.49149,46.9522,49.46943,48.0841
374.4464,46.84658,49.44319,48.01638
375.40132,46.76233,49.40958,47.95108
376.35623,46.64103,49.36476,47.88538
377.31115,46.52485,49.31789,47.8155
378.26606,46.42206,49.27104,47.73563
379.22098,46.30182,49.22116,47.65708
